# Laminated-plate macro model from results_column_ensemble.csv (H=1.000 m, highfreq matrix)
quantity,value,unit
A11,9.133853e+09,N/m
B11,-3.017249e+08,N
D11,7.058831e+08,N*m
neutral_plane_offset_over_H,-0.033034,-
coupling_B_over_sqrtAD,0.118828,-
E_extensional,8.118097e+09,Pa
E_flexural,7.510573e+09,Pa
E_flex_over_E_ext,0.925164,-

# per-layer profile
run_id,z_over_H,E_x_Pa,z_centroid_m,Q11_Pa
ICE_z05,0.050,8.767084e+09,-0.450000,9.845795e+09
ICE_z15,0.150,8.887027e+09,-0.350000,9.984763e+09
ICE_z25,0.250,8.926220e+09,-0.250000,1.002353e+10
ICE_z35,0.350,8.885321e+09,-0.150000,9.977814e+09
ICE_z45,0.450,8.825604e+09,-0.050000,9.908747e+09
ICE_z55,0.550,8.701009e+09,0.050000,9.771167e+09
ICE_z65,0.650,8.387704e+09,0.150000,9.426323e+09
ICE_z75,0.750,7.947442e+09,0.250000,8.939882e+09
ICE_z85,0.850,7.001991e+09,0.350000,7.886878e+09
ICE_z95,0.950,4.848927e+09,0.450000,5.573628e+09
