run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,E_y,nu_y,E_z,nu_z,G_xy,G_xz,G_yz,E_eff,nu_eff,G_eff,E_anisotropy,E_z_over_xy
ICE_z05,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8.767084e+09,0.330903,8.772192e+09,0.3310044183312908,8.769581e+09,0.330850,3.297920e+09,3.297165e+09,3.297800e+09,8.767084e+09,0.330903,3.297165e+09,1.000285,0.999994
ICE_z15,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,8.887027e+09,0.330770,8.930269e+09,0.3306812884271929,8.886253e+09,0.330687,3.344289e+09,3.347110e+09,3.344080e+09,8.887027e+09,0.330770,3.347110e+09,0.999913,0.997486
ICE_z25,0.50,0.033,Composite,9.53e9,0.33,0.030,0.032,0.012,0.018,2.2e9,0.83,Gmsh,Lesicar,Z,No,0,8.926220e+09,0.330726,8.933855e+09,0.3309071809355159,8.922809e+09,0.330710,3.358207e+09,3.356269e+09,3.361480e+09,8.926220e+09,0.330726,3.356269e+09,0.999618,0.999191
ICE_z35,0.50,0.033,Composite,9.51e9,0.33,0.029,0.033,0.010,0.019,2.2e9,0.82,Gmsh,Lesicar,Z,No,0,8.885321e+09,0.330754,8.892960e+09,0.3306781373295252,8.899080e+09,0.330797,3.340962e+09,3.343289e+09,3.339405e+09,8.885321e+09,0.330754,3.343289e+09,1.001549,1.001118
ICE_z45,0.50,0.033,Composite,9.49e9,0.33,0.030,0.035,0.010,0.020,2.2e9,0.80,Gmsh,Lesicar,Z,No,0,8.825604e+09,0.330840,8.814048e+09,0.3309272544681086,8.829843e+09,0.330937,3.317707e+09,3.314477e+09,3.315610e+09,8.825604e+09,0.330840,3.314477e+09,1.000480,1.001136
ICE_z55,0.50,0.033,Composite,9.46e9,0.33,0.033,0.037,0.010,0.023,2.2e9,0.78,Gmsh,Lesicar,Z,No,0,8.701009e+09,0.330979,8.699015e+09,0.33102604430089855,8.714621e+09,0.331122,3.266125e+09,3.263930e+09,3.268767e+09,8.701009e+09,0.330979,3.263930e+09,1.001564,1.001679
ICE_z65,0.50,0.033,Composite,9.44e9,0.33,0.040,0.039,0.010,0.030,2.2e9,0.75,Gmsh,Lesicar,Z,No,0,8.387704e+09,0.331893,8.389976e+09,0.3313778996930648,8.383990e+09,0.331742,3.146819e+09,3.142360e+09,3.142918e+09,8.387704e+09,0.331893,3.142360e+09,0.999557,0.999422
ICE_z75,0.50,0.033,Composite,9.42e9,0.33,0.053,0.041,0.012,0.041,2.2e9,0.72,Gmsh,Lesicar,Z,No,0,7.947442e+09,0.333201,7.946711e+09,0.3338793708814689,7.927859e+09,0.333095,2.970510e+09,2.975190e+09,2.982978e+09,7.947442e+09,0.333201,2.975190e+09,0.997536,0.997582
ICE_z85,0.50,0.033,Composite,9.39e9,0.33,0.065,0.043,0.015,0.050,2.2e9,0.68,Gmsh,Lesicar,Z,Yes,0.018,7.001991e+09,0.335768,6.968278e+09,0.3333703114090488,7.178672e+09,0.338006,2.601957e+09,2.638474e+09,2.611309e+09,7.001991e+09,0.335768,2.638474e+09,1.025233,1.027707
ICE_z95,0.50,0.033,Composite,9.37e9,0.33,0.110,0.045,0.020,0.090,2.2e9,0.62,Gmsh,Lesicar,Z,Yes,0.060,4.848927e+09,0.352809,5.065093e+09,0.356688578725449,5.046424e+09,0.356975,1.709955e+09,1.751041e+09,1.840963e+09,4.848927e+09,0.352809,1.751041e+09,1.040730,1.018038
