run_id,L,L_mesh,Is_Porous,E_matrix,nu_matrix,VoF_sphere,r_avg,VoF_void_sphere,VoF_incl_sphere,E_sphere_inclusion,sphericity_avg,PBC_Method,Bending_PBC_Type,Growth_Direction,generate_channels,channel_vof_target,E_x,nu_x,porosity,V_solid,phi_inclusion,phi_soft_total,E_z,nu_z,E_eff,nu_eff,G_eff,E_anisotropy
CSEED_z05_s1,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8928101882.44753,0.3304710852649311,0.020711201947140268,0.12241109975660747,0.020932739061507277,0.041643941008647545,8962950945.706219,0.3306744976673335,8928101882.44753,0.3304710852649311,MISSING,1.003903300356283
CSEED_z05_s2,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8885749155.652826,0.3305373414885808,0.019900714762950633,0.12251241065463117,0.025401173632147334,0.04530188839509797,8914877854.216446,0.3308354470758508,8885749155.652826,0.3305373414885808,MISSING,1.003278136491743
CSEED_z05_s3,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8938103019.533152,0.3303564416680494,0.02046364916006027,0.12244204385499247,0.020891431189713927,0.0413550803497742,8986648620.098358,0.3306741577836253,8938103019.533152,0.3303564416680494,MISSING,1.005431309133394
CSEED_z05_s4,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8931517276.198334,0.3304629484044551,0.02055592452085442,0.1224305094348932,0.02101417114069193,0.04157009566154635,8980907863.741571,0.3308137616782473,8931517276.198334,0.3304629484044551,MISSING,1.0055299212906255
CSEED_z05_s5,0.50,0.033,Composite,9.58e9,0.33,0.042,0.030,0.020,0.022,2.2e9,0.85,Gmsh,Lesicar,Z,No,0,8933512715.822954,0.33037433220351486,0.02116889757191287,0.12235388780351089,0.020539714344337767,0.04170861191625064,8966130044.237368,0.33070781821374207,8933512715.822954,0.33037433220351486,MISSING,1.00365112016426
CSEED_z15_s1,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9027814660.277735,0.3303481129986581,0.015661558058083003,0.12304230524273962,0.01856631836317746,0.03422787642126046,9060500373.047544,0.330655168774099,9027814660.277735,0.3303481129986581,MISSING,1.0036205564690674
CSEED_z15_s2,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9033169810.066126,0.3301940618139141,0.015741216939749947,0.12303234788253126,0.018046532422175687,0.033787749361925634,9076751913.839888,0.330665529167657,9033169810.066126,0.3301940618139141,MISSING,1.0048246744708813
CSEED_z15_s3,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9011933738.908606,0.3302744222731687,0.014933699421820323,0.12313328757227246,0.02032440910214106,0.035258108523961385,9052166863.409544,0.3307153228925712,9011933738.908606,0.3302744222731687,MISSING,1.0044644274654655
CSEED_z15_s4,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9019759741.545628,0.3302439254403809,0.01666860833211481,0.12291642395848565,0.017736892570932916,0.034405500903047725,9073566928.462868,0.33074481107905485,9019759741.545628,0.3302439254403809,MISSING,1.0059654789549881
CSEED_z15_s5,0.50,0.033,Composite,9.56e9,0.33,0.034,0.031,0.015,0.019,2.2e9,0.84,Gmsh,Lesicar,Z,No,0,9040957729.159496,0.33034695783049856,0.014958075147490035,0.12313024060656375,0.018788239894377057,0.03374631504186709,9063605160.694122,0.33064595677066483,9040957729.159496,0.33034695783049856,MISSING,1.002504981464694
